0x0000,PT_NULL,PT_NULL,PidTagNull
0x0001,PT_LONG,PR_ACKNOWLEDGEMENT_MODE,PidTagAcknowledgementMode
0x0002,PT_BOOLEAN,PR_ALTERNATE_RECIPIENT_ALLOWED,PidTagAlternateRecipientAllowed
0x0003,PT_BINARY,PR_AUTHORIZING_USERS,PidTagAuthorizingUsers
0x0004,PT_TSTRING,PR_AUTO_FORWARD_COMMENT,PidTagAutoForwardComment
0x0004,PT_STRING8,PR_AUTO_FORWARD_COMMENT_A,PidTagAutoForwardComment
0x0004,PT_UNICODE,PR_AUTO_FORWARD_COMMENT_W,PidTagAutoForwardComment
0x0005,PT_BOOLEAN,PR_AUTO_FORWARDED,PidTagAutoForwarded
0x0006,PT_BINARY,PR_CONTENT_CONFIDENTIALITY_ALGORITHM_ID,PidTagContentConfidentialityAlgorithmId
0x0007,PT_BINARY,PR_CONTENT_CORRELATOR,PidTagContentCorrelator
0x0008,PT_TSTRING,PR_CONTENT_IDENTIFIER,PidTagContentIdentifier
0x0008,PT_STRING8,PR_CONTENT_IDENTIFIER_A,PidTagContentIdentifier
0x0008,PT_UNICODE,PR_CONTENT_IDENTIFIER_W,PidTagContentIdentifier
0x0009,PT_LONG,PR_CONTENT_LENGTH,PidTagContentLength
0x000A,PT_BOOLEAN,PR_CONTENT_RETURN_REQUESTED,PidTagContentReturnRequested
0x000B,PT_BINARY,PR_CONVERSATION_KEY,
0x000C,PT_BINARY,PR_CONVERSION_EITS,PidTagConversionEits
0x000D,PT_BOOLEAN,PR_CONVERSION_WITH_LOSS_PROHIBITED,PidTagConversionWithLossProhibited
0x000E,PT_BINARY,PR_CONVERTED_EITS,PidTagConvertedEits
0x000F,PT_SYSTIME,PR_DEFERRED_DELIVERY_TIME,PidTagDeferredDeliveryTime
0x0010,PT_SYSTIME,PR_DELIVER_TIME,PidTagDeliverTime
0x0011,PT_LONG,PR_DISCARD_REASON,PidTagDiscardReason
0x0012,PT_BOOLEAN,PR_DISCLOSURE_OF_RECIPIENTS,PidTagDisclosureOfRecipients
0x0013,PT_BINARY,PR_DL_EXPANSION_HISTORY,PidTagDistributionListExpansionHistory
0x0014,PT_BOOLEAN,PR_DL_EXPANSION_PROHIBITED,PidTagDistributionListExpansionProhibited
0x0015,PT_SYSTIME,PR_EXPIRY_TIME,PidTagExpiryTime
0x0016,PT_BOOLEAN,PR_IMPLICIT_CONVERSION_PROHIBITED,PidTagImplicitConversionProhibited
0x0017,PT_LONG,PR_IMPORTANCE,PidTagImportance
0x0018,PT_BINARY,PR_IPM_ID,
0x0019,PT_SYSTIME,PR_LATEST_DELIVERY_TIME,PidTagLatestDeliveryTime
0x001A,PT_TSTRING,PR_MESSAGE_CLASS,PidTagMessageClass
0x001A,PT_STRING8,PR_MESSAGE_CLASS_A,PidTagMessageClass
0x001A,PT_UNICODE,PR_MESSAGE_CLASS_W,PidTagMessageClass
0x001B,PT_BINARY,PR_MESSAGE_DELIVERY_ID,PidTagMessageDeliveryId
0x001E,PT_BINARY,PR_MESSAGE_SECURITY_LABEL,PidTagMessageSecurityLabel
0x001F,PT_BINARY,PR_OBSOLETED_IPMS,PidTagObsoletedMessageIds
0x0020,PT_BINARY,PR_ORIGINALLY_INTENDED_RECIPIENT_NAME,PidTagOriginallyIntendedRecipientName
0x0021,PT_BINARY,PR_ORIGINAL_EITS,PidTagOriginalEits
0x0022,PT_BINARY,PR_ORIGINATOR_CERTIFICATE,PidTagOriginatorCertificate
0x0023,PT_BOOLEAN,PR_ORIGINATOR_DELIVERY_REPORT_REQUESTED,PidTagOriginatorDeliveryReportRequested
0x0024,PT_BINARY,PR_ORIGINATOR_RETURN_ADDRESS,PidTagOriginatorReturnAddress
